ID,sc1,sc2,sc3,sc4
1,,13,13,10
2,8,9,,11
3,8,,12,11
4,,13,15,15
5,6,7,,7
6,5,,12,10
7,13,,15,12
8,2,2,5,
9,6,8,7,
10,,10,13,11
11,7,8,10,
12,,12,14,12
13,,10,12,10
14,10,10,11,
15,9,8,10,
16,,7,5,6
17,,13,4,6
18,14,12,6,
19,13,12,,6
20,13,11,,8
21,,13,8,7
22,10,,7,7
23,10,9,,8
24,9,9,6,
25,4,4,,2
26,10,,4,4
27,13,,6,8
28,8,7,,2
29,11,12,6,
30,10,,8,7
31,,8,7,8
32,2,2,2,
33,6,,9,8
34,7,8,,8
35,5,4,,4
36,,11,12,10
37,12,13,,14
38,11,10,,10
39,7,8,,9
40,8,7,,11
41,6,5,6,
42,3,,5,5
43,10,,14,14
44,4,4,6,
45,0,0,,0
46,2,,2,2
47,6,6,,8
48,,4,5,7
49,2,2,4,
50,13,,14,14
51,13,12,7,
52,,12,8,7
53,13,14,,13
54,11,,11,11
55,3,3,2,
56,13,12,,7
57,15,,11,11
58,,15,14,13
59,12,,9,6
60,,11,8,8
61,11,10,8,
62,6,,6,6
63,14,12,9,
64,,15,8,8
65,8,6,4,
66,,12,8,6
67,,14,14,14
68,12,13,12,
69,10,,8,9
70,11,,8,8
71,,13,13,12
72,8,,7,8
73,,0,0,0
74,10,11,,11
75,13,,18,17
76,,14,12,10
77,13,,13,12
78,9,12,,7
79,,10,6,6
80,9,,9,9
81,9,10,,9
82,13,12,,13
83,,13,12,13
84,,10,6,8
85,6,,2,2
86,12,,9,11
87,7,8,,12
88,11,10,16,
89,,4,4,2
90,13,11,,9
91,11,,17,17
92,15,,17,17
93,4,5,6,
94,,0,0,0
95,,12,16,16
96,14,12,16,
97,7,6,8,
98,12,,18,18
99,13,10,,14
100,10,10,,13
101,8,,10,10
102,,12,13,13
103,6,6,8,
104,14,13,15,
